Location,location,feature_class,latitude,longitude,Closest Ocean Basin,Distance to Nearest Ocean
Oro,exact,A,-9.0,148.5,11,55.59746332227927
Phnom Penh,exact,P,11.56245,104.91601,9,45.85338066087326
Bonto Manai Village,Bonto,P,13.29028,-16.55583,3,24.089086341524464
Lower Mekong Basin,Bulbogan,P,12.89931,121.45722,9,44.643087017485925
Farallon Island,exact,T,8.35375,-80.11085,11,45.78941804908212
Castellammare,exact,P,40.70211,14.48685,22,22.50101181228224
Namco Lake,exact,H,30.7,90.55,15,22.74804388982101
Himalayan,exact,T,28.0,84.0,15,74.09200491183664
open sea,Open,P,-8.1428,112.8322,11,53.976726918378624
Mexico City,exact,P,19.42847,-99.12766,1,39.83821860986273
Seal Rocks,exact,T,-66.25,162.26667,20,29.679520714361782
Xuande Atolls,Xuande,P,45.70438,127.90611,9,38.918232933748264
U-Taphao River,exact,H,7.15676,100.4518,17,38.53495920824679
Vembanad lake,exact,H,9.5917,76.39471,17,15.403602644976202
Marseille Bay,exact,S,43.43556,5.21361,22,24.197203141515505
Caribbean,exact,L,20.38583,-72.33398,3,21.456583340013363
Tyrrhenian sea,exact,H,40.0,12.0,22,69.94042916169475
Bay Cadiz,exact,H,36.5475,-6.26917,3,21.29186714386074
Huangfuchuan,fuzzy,P,35.41917,110.00444,9,45.774394850407525
Parangtritis Beach,Parangtritis,P,-8.01036,110.31363,11,58.18001011618251
Nova Scotia,exact,A,45.00015,-62.99865,3,67.9188145354374
EU,exact,P,50.04606,1.42079,3,50.788748762629645
Strait Sicily,exact,H,37.33333,11.33333,22,23.667066060341934
Al-Hubail,exact,P,31.66667,47.03333,25,47.932835465523226
Kota,exact,P,6.12361,102.24333,11,50.56037320460535
ETA,exact,P,27.55879,78.65692,15,16.797314099029375
Itoh,exact,P,4.11667,114.43333,11,43.260639643193926
Magazine Wetland,Magazine,P,35.15092,-93.80687,3,47.767392305546466
Ionian,exact,A,37.79299,20.78305,22,41.01742411099504
Torre Guaceto Marine Protected Area,Torre,A,41.7213,-8.71527,3,30.427428691388798
Kemari Jetty,Kemri,P,28.80673,79.2048,15,44.64296421592283
Pearl River,exact,P,41.05899,-74.02181,3,63.25681237337587
Brahmapuram,exact,P,19.31151,84.7929,15,37.187685531725
Gillan,exact,T,-16.25,167.5,12,27.798731661139723
Northern California,exact,L,39.76531,-121.90983,9,45.84836558808562
Killiyar,fuzzy,P,11.06715,79.77409,15,56.65574135207496
Kavaratti Island,exact,T,10.56427,72.63885,14,16.77747215052673
Cote d'Ivoire (Ivory Coast,exact,A,8.0,-5.5,5,55.597463322279445
Crimea,exact,L,45.0,34.0,23,67.99327454135909
Sado,exact,L,41.28608,22.62513,22,25.976234367753435
Global South,exact,S,33.71109,-117.88424,9,42.62873149965116
Mustang Island,exact,L,27.67531,-97.17693,3,37.3328421469304
Northern Hemisphere,Northern,L,-20.04022,145.93238,13,68.17525853743878
mid-Atlantic,exact,L,40.58629,-76.28807,3,20.316370099219853
Ofanto river,exact,H,41.36019,16.19908,22,29.513943172739538
Vadodara,exact,P,22.29941,73.20812,15,37.388465381390255
Canary Island,exact,P,-35.99171,143.843,19,62.83008193753425
Incheon,exact,P,37.45646,126.70515,9,18.739172736706454
Nanming River,fuzzy,H,11.7362,122.0727,9,53.439584125105235
Tver,exact,P,56.85836,35.90057,3,46.76004277774742
Asia Pacific,exact,S,34.14695,-118.1409,9,51.269989026004545
West Greenland,exact,L,68.0,-52.0,21,59.29137164552287
Port Blair,exact,P,11.66613,92.74635,14,32.57854631987279
Agua Amarga,exact,L,-4.71334,-80.89379,11,49.67614558543627
Wangdonggou small,Wangdonggou,P,37.10472,108.08728,9,57.135605490581426
Santos Bay Region,Santos,P,-23.96083,-46.33361,7,53.96860980324246
NE Spain,Ne,P,44.35559,9.38787,22,18.36109410308692
Baltic Sea,exact,H,56.0,18.0,24,63.60120918678821
Aveiro Lagoon,exact,H,40.63333,-8.73333,3,24.66274008636849
Severnaya Dvina River,exact,H,64.53176,40.49389,3,3.5436284124410027
Besant Nagar,exact,P,12.99528,80.26722,15,60.5833913450853
Sungei Buloh,exact,P,3.25,101.3,11,35.57565295835508
Margasari Village,Margasari,P,-7.09484,109.025,11,69.09656552113543
Songkhla Lagoon,Songkhla,A,6.83333,100.66667,17,41.38383362239149
Midway,exact,P,36.38534,-92.46183,3,13.198874428448171
U.S.A.,exact,A,39.76,-98.5,3,28.910680927585595
Heard,exact,A,-53.11711,73.50952,20,42.58012336809907
Seribu Island,fuzzy,T,-8.61083,143.33189,11,22.216401171459438
Tampico,exact,P,22.28519,-97.87777,3,45.59569879593027
Jaya,exact,P,3.10726,101.60671,11,45.2488038076563
Laizhou Bay,exact,H,37.31056,119.36,9,24.42626098088789
Southern Ontario’s,Southern,A,22.24112,114.20769,9,41.61822993028381
Jupiter,exact,P,26.93422,-80.09421,3,62.894263435983945
Garn Formation,Garn,T,66.30211,160.42536,21,22.253796816803174
San Francisco Bay,exact,L,37.77239,-122.42349,9,31.028618717963298
